feature,importance
cat__proto_emcon,1.7187676060411244e-08
cat__proto_cftp,1.6928710751596275e-08
cat__proto_prm,1.6812340653182113e-08
cat__proto_fc,1.477420773226517e-08
cat__proto_mfe-nsp,1.4186811381437549e-08
cat__proto_snp,1.3213223832744013e-08
cat__proto_mtp,1.304961859833303e-08
cat__proto_xnet,1.2360874885368851e-08
cat__proto_sm,1.1491954766997351e-08
cat__proto_sccopmce,9.570288004073873e-09
cat__proto_pnni,8.614003497458952e-09
cat__proto_chaos,8.488363219311012e-09
cat__proto_sprite-rpc,6.805272712628991e-09
cat__proto_ddp,6.166246793008786e-09
cat__proto_leaf-2,5.964887516701712e-09
cat__proto_nsfnet-igp,5.0344358571539375e-09
cat__service_irc,4.775525961586669e-09
cat__proto_netblt,4.490225824657202e-09
cat__proto_kryptolan,4.44853982873155e-09
cat__proto_idpr-cmtp,4.3003520331919995e-09
cat__proto_l2tp,4.0698767453386294e-09
cat__proto_ipv6-no,3.9414139634953185e-09
cat__proto_trunk-1,3.772296041751899e-09
cat__proto_tp++,3.6905930152613445e-09
cat__proto_il,3.6514486129621045e-09
cat__proto_zero,3.015118068700691e-09
cat__proto_ib,2.702449366680238e-09
cat__proto_irtp,2.6171879698848143e-09
cat__proto_ipnip,2.3893918866926504e-09
cat__proto_mhrp,2.225887805498251e-09
cat__ct_flw_http_mthd_14.0,2.1287782318727414e-09
cat__proto_etherip,2.103643449767269e-09
cat__proto_iso-tp4,1.911139433555489e-09
cat__proto_ipv6-opts,1.7098459415564428e-09
cat__proto_srp,1.6412398357846282e-09
cat__proto_xns-idp,1.4198414477119169e-09
cat__proto_udt,1.2426626177323102e-09
cat__ct_flw_http_mthd_10.0,1.1006854219724156e-09
cat__proto_qnx,1.0948845189768344e-09
cat__proto_idrp,9.807742067032841e-10
cat__proto_sps,9.302105718951426e-10
cat__proto_tcf,8.922896366655395e-10
cat__ct_ftp_cmd_2,7.386996490051152e-10
cat__proto_sdrp,7.19045714409201e-10
cat__proto_smp,5.463331941616867e-10
cat__proto_ggp,5.279393576793496e-10
cat__proto_scps,5.052911146896429e-10
cat__proto_iatp,4.939583819126013e-10
cat__proto_ipip,4.894335084958397e-10
cat__proto_aris,2.875681483959788e-10
cat__proto_ifmp,2.60457099858034e-10
cat__proto_encap,2.5965960568594145e-10
cat__proto_eigrp,2.5949295820655896e-10
cat__proto_ipv6-route,2.2459578951974865e-10
cat__proto_ipcv,2.1809543000764425e-10
cat__proto_pvp,1.936303204492571e-10
cat__proto_sat-expak,1.9003843885617716e-10
